id_oferta,cargo,empresa,ciudad,salario_publicado,salario_mensual_base,segmento_salarial,experiencia_requerida,nivel_experiencia,educacion_minima,educacion_minima_valor,modalidad,es_remoto,es_presencial,tipo_contrato,jornada,tiempo_parcial,menciones_tecnologia
D091BF5608C0FCDD61373E686DCF3405,Analista de Comercial / Ventas,Manpower,Lima,0,,,0,Junior,universitario,4,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,4
B5BF001D4A27FF1961373E686DCF3405,Analista de RRHH,Abai Business Solutions,Chorrillos,0,,,1,Junior,universitario,4,Híbrido,1,1,Contrato por Inicio o Incremento de Actividad,Completa,0,4
3DF0A3E2C4D5ABE161373E686DCF3405,Analista de RRHH,Grupo Tawa,Lima,0,,,3,Mid-Level,universitario,4,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,4
87A5DBF126E03A3661373E686DCF3405,Analista (General),Importante empresa del sector,Lima,0,,,2,Mid-Level,universitario,4,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,5
9C9959BD3137543A61373E686DCF3405,Analista de Logística / Operaciones,Ceva Logistics Perú S.R.L.,Villa El Salvador,0,,,1,Junior,universitario,4,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,4
0A628A0E430636ED61373E686DCF3405,Analista (General),Caja Cencosud Del Grupo Scotiabank,Miraflores,0,,,1,Junior,universitario,4,Híbrido,1,1,Contrato a Plazo Indeterminado,Completa,0,4
BA2B1AD8F4EB58A761373E686DCF3405,Analista (General),CALOX VITAPHARMA SAC,Lurin,0,,,3,Mid-Level,universitario,4,Presencial,0,1,Contrato por Obra Determinada o Servicio Específico,Completa,0,3
0ADCEF543E8A4F5261373E686DCF3405,Analista de Créditos y Cobranzas,IMAB SOLUTIONS,Villa El Salvador,0,,,5,Senior,universitario,4,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,5
84D6EC5F484690F661373E686DCF3405,Analista (General),Importante empresa del sector,Santiago De Surco,0,,,3,Mid-Level,universitario,4,Híbrido,1,1,Contrato por Inicio o Incremento de Actividad,Completa,0,4
73CACE192D4C849061373E686DCF3405,Analista de Créditos y Cobranzas,FINANCIERA ADES,Lima,0,,,2,Mid-Level,técnico,3,Presencial,0,1,Contrato a Plazo Indeterminado,Completa,0,4
4212E2ACB638E52261373E686DCF3405,Analista (General),Importante empresa del sector,Santiago De Surco,0,,,2,Mid-Level,técnico,3,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,5
1706A99FE3EC46BF61373E686DCF3405,Analista (General),Los Portales,Magdalena Del Mar,0,,,2,Mid-Level,universitario,4,Presencial,0,1,Contrato por Obra Determinada o Servicio Específico,Completa,0,4
A6812B7554DB05D061373E686DCF3405,Analista de Logística / Operaciones,Importante empresa del sector,Lurin,0,,,2,Mid-Level,universitario,4,Presencial,0,1,Contrato por Obra Determinada o Servicio Específico,Completa,0,4
C9BABA9B4B85140361373E686DCF3405,Analista de TI / Sistemas,Importante empresa del sector,Santiago De Surco,0,,,1,Junior,técnico,3,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,4
6827B37FAFEDC70761373E686DCF3405,Analista de Calidad / SSOMA,Materia Gris,Surquillo,0,,,2,Mid-Level,técnico,3,Presencial,0,1,Contrato por Necesidades del Mercado,Completa,0,4
5402A00237B654F661373E686DCF3405,Analista (General),ROAD FEEDER SERVICES S.A.C,Magdalena Del Mar,0,,,0,Junior,técnico,3,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,3
BEFEDE14FAD8FD7E61373E686DCF3405,Analista de RRHH,Caja Cencosud Del Grupo Scotiabank,Miraflores,0,,,2,Mid-Level,universitario,4,Híbrido,1,1,Contrato a Plazo Indeterminado,Completa,0,4
258DD5E04A76ED9561373E686DCF3405,Analista de Créditos y Cobranzas,Coopac Kori,Barranca,0,,,0,Junior,técnico,3,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,4
EF1FD8D38E640E5161373E686DCF3405,Analista de Comercial / Ventas,Lavoro Perú,Santiago De Surco,1,2500.0,Alto,2,Mid-Level,técnico,3,Híbrido,1,1,Contrato por Obra Determinada o Servicio Específico,Completa,0,5
